id,name,type,status,priority,epic_id,description
epic-1,Core Registration (MVP),epic,done,high,,Alapveto regisztracios folyamat es vendegkezeles - Adminok kezelhetik a vendeglistat es kuldhetnek meghivokat vendegek pedig regisztralhatnak magic link-kel
1.1,Project Foundation & Database Setup,story,done,high,epic-1,Next.js 14 projekt inicializalas TypeScript Tailwind CSS es Prisma ORM-mel - MySQL adatbazis kapcsolat
1.2,Admin Authentication & Session Management,story,done,high,epic-1,Admin bejelentkezes email/jelszo kombinacioval - NextAuth.js Credentials provider bcrypt jelszo hash
1.3,Email Service Setup & Magic Link Sender,story,done,high,epic-1,Magic link meghivo emailek kuldese Nodemailer SMTP-vel - SHA-256 hash 24 ora lejarat rate limiting
1.4,CSV Guest List Import,story,done,medium,epic-1,CSV vendeglista feltoltes validacioval - max 10000 sor email ellenorzes duplikacio kezeles
1.5,Magic Link Validation & Registration Landing,story,done,high,epic-1,Magic link validalas es regisztracios oldal - hash ellenorzes lejarat vizsgalat vendeg kategoria megjelenitese
1.6,VIP Guest Registration (Instant Confirmation),story,done,medium,epic-1,VIP vendeg regisztracio egy kattintassal - azonnali visszaigazolas QR jegy generalas Epic 2-ben
1.7,Paid Guest Registration Form (No Payment Yet),story,done,high,epic-1,Fizeto vendeg regisztracios urlap - tobblepeses form szamlazasi adatok partner informacio
1.8,Admin Guest List Dashboard,story,done,high,epic-1,Admin vendeglista nezet szuresekkel - paginalt tablazat kereses kategoriak szerinti szures
1.9,Admin Guest CRUD Operations,story,done,medium,epic-1,Vendeg letrehozas szerkesztes torles - modal form validacio cascade delete
epic-2,Payment & Ticketing,epic,done,high,,Stripe fizetesi integracio es QR jegy generalas automatizalasa
2.1,Stripe Checkout Session Integration,story,done,high,epic-2,Stripe Checkout Session letrehozas - HUF fizetes success/cancel redirect metadata
2.2,Stripe Webhook Handler & Payment Confirmation,story,done,high,epic-2,Stripe webhook fogadas es feldolgozas - alairas validacio fizetes megerosites
2.3,QR Code JWT Generation & Storage,story,done,high,epic-2,QR kod JWT token generalas - HMAC-SHA256 alairas lejarat beallitas hash tarolas
2.4,E-Ticket Email Delivery with QR Code,story,done,medium,epic-2,E-ticket email kuldes QR koddal - inline kep sablon rendszer log
2.5,Manual Bank Transfer Payment Approval,story,done,medium,epic-2,Banki atutalas manualis jovahagyasa - admin interfesz fizetes megerosites jegy kiadas
2.6,Payment Status Dashboard for Guests,story,done,low,epic-2,Fizetes statusz oldal vendegeknek - regisztracio osszegzes atutalasi adatok QR ujrakuldes
epic-3,Check-in System,epic,done,high,,Mobil QR szkennelo alkalmazas es check-in naplo implementalasa
3.1,QR Code Validation API & JWT Verification,story,done,high,epic-3,QR kod validacios API - JWT verifikalas lejarat ellenorzes duplikacio detektalas
3.2,Mobile QR Scanner Interface,story,done,high,epic-3,Mobil QR szkennelo felhasznaloi felulet - html5-qrcode szinkodolt kartyak (zold/sarga/piros)
3.3,Check-in Recording & Duplicate Prevention,story,done,high,epic-3,Check-in rogzites es duplikacio megakadalyozas - UNIQUE constraint admin override
3.4,Admin Check-in Log Dashboard,story,done,medium,epic-3,Admin check-in naplo nezet - szurheto tablazat CSV export statisztikak
epic-4,Seating Management,epic,done,medium,,Interaktiv asztalfoglalasi rendszer drag-and-drop terkepszerkesztovel
4.1,Table CRUD Operations,story,done,medium,epic-4,Asztal CRUD muveletek - nev kapacitas tipus pozicio statusz
4.2,Manual Guest-to-Table Assignment,story,done,medium,epic-4,Vendeg-asztal hozzarendeles - kapacitas ellenorzes seat number UNIQUE constraint
4.3,Bulk CSV Table Assignment,story,done,low,epic-4,Tomeges CSV asztal hozzarendeles - bulk import all-or-nothing tranzakcio
4.4,Interactive Drag-and-Drop Seating Map,story,done,medium,epic-4,Interaktiv drag-and-drop asztalterkep - React-Konva canvas zoom pozicio mentes
4.5,Seating Arrangement Export & Reports,story,done,low,epic-4,Ultetesi rend exportalas es riportok - CSV export nyomtatas statisztikak
epic-5,Guest Profile Extension,epic,done,medium,,Vendeg profil bovites reszletes adatokkal
5.1,Data Model Extension,story,done,high,epic-5,Prisma sema modositas - title phone company position dietary_requirements seating_preferences
5.2,Validation Layer,story,done,high,epic-5,Zod validacios semak letrehozasa - guest profile billing info partner details
5.3,VIP Registration Profile Fields,story,done,medium,epic-5,VIP regisztracio profil mezok - UI komponensek form integralas
5.4,Paying Registration Billing Form,story,done,medium,epic-5,Fizetos regisztracio szamlazasi urlap - billing info partner mezok validacio
epic-6,PWA Guest App,epic,done,high,,Progressive Web App vendegeknek mobil elso megkozelitessel
6.1,PWA Basics,story,done,high,epic-6,PWA alapok - manifest.json service worker install prompt offline tamogatas
6.2,QR-based Authentication,story,done,high,epic-6,QR kod es kod alapu belepes - CEOG-XXXXXX formatum session kezeles
6.3,Guest Profile View/Edit,story,done,medium,epic-6,Vendeg profil megtekintes es szerkesztes - form validacio mentes
6.4,QR Code Display Offline,story,done,high,epic-6,QR jegy megjelenitese offline tamogatassal - cache service worker
6.5,Table Number Display,story,done,low,epic-6,Asztalszam megjelenitese a vendeg PWA-ban
6.6,Push Notification Integration,story,done,medium,epic-6,Push ertesites infrastruktura - Firebase FCM token subscription
6.7,Offline Cache Strategy,story,done,medium,epic-6,Service worker cache offline mod - statikus eroforrasok API cache
6.8,MyForgeLabs Branding,story,done,low,epic-6,Powered by MyForge Labs footer - branding design konzisztencia
epic-7,Applicant Flow,epic,done,medium,,Nyilvanos jelentkezesi folyamat nem meghivott vendegeknek
7.1,Applicant Registration Flow,story,done,high,epic-7,Nyilvanos jelentkezesi urlap - guest_type applicant status pending_approval
7.2,Admin Applicant Management,story,done,high,epic-7,Admin felhasznaloi felulet jelentkezok kezelesehez - approve/reject magic link kuldes
